page_number,position,result_type,title,link,result_id,publication_info_summary,snippet,cited_by_count,cited_by_link,cited_by_id,total_versions,all_versions_link,all_versions_id,file_format,file_title,file_link
1,1,,Calibrating parameters and formulas for process-level energy consumption profiling in smartphones,https://www.sciencedirect.com/science/article/pii/S1084804514001118,MJp1fON4k_cJ,"YD Lin, E Rattagan, YC Lai, LP Chang, YC Yo… - Journal of network and …, 2014 - Elsevier",… energy estimation results at the process level for off-the-shelf devices. The first phase reconstructs the power table for a DUT and the second phase further replaces the faulty energy …,7,"https://scholar.google.com/scholar?cites=17839735467385657904&as_sdt=5,33&sciodt=0,33&hl=en&num=20",17839735467385657904,10,"https://scholar.google.com/scholar?cluster=17839735467385657904&hl=en&num=20&as_sdt=0,33&as_vis=1",17839735467385657904,PDF,nctu.edu.tw,http://speed.cis.nctu.edu.tw/~ydlin/pdf/calibrating.pdf
1,2,,Paraffin-based crude oil refining process unit-level energy consumption and CO2 emissions in China,https://www.sciencedirect.com/science/article/pii/S0959652620303942,rBw63DHxsaQJ,"FR Jia, WT Jing, GX Liu, Q Yue, HM Wang… - Journal of Cleaner …, 2020 - Elsevier","… use of petroleum base automotive fuels in Korea using a process-level allocation model, and found higher CO 2 emissions during the refining process of gasoline than diesel. Moretti et …",25,"https://scholar.google.com/scholar?cites=11867531689548455084&as_sdt=5,33&sciodt=0,33&hl=en&num=20",11867531689548455084,4,"https://scholar.google.com/scholar?cluster=11867531689548455084&hl=en&num=20&as_sdt=0,33&as_vis=1",11867531689548455084,,,
1,3,,Linux: Understanding Process-Level Power Consumption,https://hal.inria.fr/hal-00641706/,DUMRX63_A1IJ,"A Bourdon, A Noureddine, R Rouvoy… - … Middleware (GCM'2011), 2011 - hal.inria.fr",… on coarse-grained approaches to monitor the energy consumption of a device or a process. In … energy monitoring framework we developed to easily report on the energy consumption of …,5,"https://scholar.google.com/scholar?cites=5909848256129614605&as_sdt=5,33&sciodt=0,33&hl=en&num=20",5909848256129614605,6,"https://scholar.google.com/scholar?cluster=5909848256129614605&hl=en&num=20&as_sdt=0,33&as_vis=1",5909848256129614605,PDF,inria.fr,https://hal.inria.fr/hal-00641706/file/GCM_Middleware_11_-_Aurelien_Bourdon_-_final.pdf
1,4,,A process-level hierarchical structural decomposition analysis (SDA) of energy consumption in an integrated steel plant,https://link.springer.com/article/10.1007/s11771-017-3442-8,TxowdMaMEXwJ,"X Liu, S Liao, Z Rao, G Liu - Journal of Central South University, 2017 - Springer","… mostly in reducing energy consumption. A … energy saving. Besides the empirical results, this work also discussed that why and how hierarchical SDA can be applied in a process-level …",6,"https://scholar.google.com/scholar?cites=8940081519287867983&as_sdt=5,33&sciodt=0,33&hl=en&num=20",8940081519287867983,6,"https://scholar.google.com/scholar?cluster=8940081519287867983&hl=en&num=20&as_sdt=0,33&as_vis=1",8940081519287867983,,,
