page_number,position,result_type,title,link,result_id,publication_info_summary,snippet,cited_by_count,cited_by_link,cited_by_id,total_versions,all_versions_link,all_versions_id,file_format,file_title,file_link
1,1,,Quantifying power in silicon photonic neural networks,https://journals.aps.org/prapplied/abstract/10.1103/PhysRevApplied.17.054029,7YqO9hpeLvwJ,"AN Tait - Physical Review Applied, 2022 - APS","… to past work), we find that photonic neural networks and VMMs can be highly competitive … that improving energy efficiency is not the only value proposition of photonic neural networks. …",25,"https://scholar.google.com/scholar?cites=18171565016385227501&as_sdt=2005&sciodt=0,5&hl=en&num=20",18171565016385227501,3,"https://scholar.google.com/scholar?cluster=18171565016385227501&hl=en&num=20&as_sdt=0,5&as_vis=1",18171565016385227501,PDF,arxiv.org,https://arxiv.org/pdf/2108.04819
1,2,,Use of neural networks to monitor power plant components,https://inis.iaea.org/search/search.aspx?orig_q=RN:24033320,HksMXOpHO38J,"A Ikonomopoulos, LH Tsoukalas, RE Uhrig - 1992 - inis.iaea.org",… This report was prepared as an account of work sponsored by … of check valves operating in a nuclear power plant (NPP). … the ability of neural networks to perform accurate and quick …,19,"https://scholar.google.com/scholar?cites=9168000538335005470&as_sdt=2005&sciodt=0,5&hl=en&num=20",9168000538335005470,6,"https://scholar.google.com/scholar?cluster=9168000538335005470&hl=en&num=20&as_sdt=0,5&as_vis=1",9168000538335005470,PDF,iaea.org,https://inis.iaea.org/collection/NCLCollectionStore/_Public/24/033/24033320.pdf
1,3,,Using modular neural networks to monitor accident conditions in nuclear power plants,https://www.spiedigitallibrary.org/conference-proceedings-of-spie/1709/0000/Using-modular-neural-networks-to-monitor-accident-conditions-in-nuclear/10.1117/12.140029.short,74Zq-rjKyAEJ,"Z Guo, RE Uhrig - Applications of Artificial Neural Networks III, 1992 - spiedigitallibrary.org","… power plants , neural networks are used to monitor the accident scenarios simulated by the training simulator of TVA 'S Watts Bar Nuclear Power … set of small size neural networks, called …",26,"https://scholar.google.com/scholar?cites=128575485204137711&as_sdt=2005&sciodt=0,5&hl=en&num=20",128575485204137711,6,"https://scholar.google.com/scholar?cluster=128575485204137711&hl=en&num=20&as_sdt=0,5&as_vis=1",128575485204137711,PDF,iaea.org,https://inis.iaea.org/collection/NCLCollectionStore/_Public/24/050/24050635.pdf
