page_number,position,result_type,title,link,result_id,publication_info_summary,snippet,cited_by_count,cited_by_link,cited_by_id,total_versions,all_versions_link,all_versions_id,file_format,file_title,file_link
1,1,Pdf,Conceptualizing Indonesia's ICT-based energy security tracking system with detailed indicators from smart city extension,https://repository.ubn.ru.nl/bitstream/handle/2066/222114/222114.pdf,T8RzFb8mWqYJ,"E Yandri, RH Setyobudi, H Susanto, K Abdullah… - 2020 - repository.ubn.ru.nl","… Based on the above consideration, the objective of this paper is to conceptualize an ICT-based energy security tracking system with detailed indicators into the concept of smart grids …",12.0,"https://scholar.google.com/scholar?cites=11986935960340513871&as_sdt=2005&sciodt=0,5&hl=en&num=20",11986935960340513871,4.0,"https://scholar.google.com/scholar?cluster=11986935960340513871&hl=en&num=20&as_sdt=0,5&as_vis=1",11986935960340513871,PDF,ru.nl,https://repository.ubn.ru.nl/bitstream/handle/2066/222114/222114.pdf
1,2,Pdf,"… , ICT and energy-status and trends in young people's use and understanding of ICT and energy consumption: D2. 1 Technical Report on the Organisation and …",https://vbn.aau.dk/ws/files/201886616/UseITsmartly_WP2_report_D2.1_FINAL.pdf,cqPfmc1e-WEJ,"TH Christensen, R Mourik, S Breukers, T Mathijsen… - 2014 - vbn.aau.dk","… on ICT use and energy consumption (chapter 3 and 4), we will start with introducing an overall framework for understanding the different types of energyimplications of ICT usage. …",6.0,"https://scholar.google.com/scholar?cites=7059778128022840178&as_sdt=2005&sciodt=0,5&hl=en&num=20",7059778128022840178,3.0,"https://scholar.google.com/scholar?cluster=7059778128022840178&hl=en&num=20&as_sdt=0,5&as_vis=1",7059778128022840178,PDF,aau.dk,https://vbn.aau.dk/ws/files/201886616/UseITsmartly_WP2_report_D2.1_FINAL.pdf
1,3,,Energy Consumption of Information and Communication Technology (ICT) in Germany up to 2010. Summary of the final report,https://www.osti.gov/etdeweb/biblio/20603631,yuQKh-c9PpMJ,"C Cremer, W Eichhammer, M Friedewald, P Georgieff… - 2003 - osti.gov","… ICT sector itself, which could be exploited to a greater extent, as well as in possibilities to save energy in other sectors through increased use of new ICT … , in energy technology auxiliary …",3.0,"https://scholar.google.com/scholar?cites=10609985836743845066&as_sdt=2005&sciodt=0,5&hl=en&num=20",10609985836743845066,,{},{},,,
1,4,,Preventive Energy Safety Using ICT Cooperative Prediction Models,https://ieeexplore.ieee.org/abstract/document/7993914/,PQTWjMWYEF8J,"Y Doh, E Lee, C Lee, Y Moon… - 2017 Ninth International …, 2017 - ieeexplore.ieee.org",… energy safety framework to guarantee a preventive energy safety that makes use of the signs of LPG/LNG accidents. The proposed preventive energy … prediction modeling technologies. …,2.0,"https://scholar.google.com/scholar?cites=6850143007469339709&as_sdt=2005&sciodt=0,5&hl=en&num=20",6850143007469339709,,{},{},,,
1,5,Pdf,Seeing energy differently: exploring the impact of a green ICT initiative at De Montfort University: Greenview project report,http://irep.ntu.ac.uk/id/eprint/36269/1/13674_Bull.pdf,HHawjUq22xUJ,"R Bull, G Stuart, D Everitt, M Rieser - 2012 - irep.ntu.ac.uk","… To design, implement and launch a campus wide ICT tool connecting building users to the energy consumption of buildings and the ICT infrastructure. This will be open source and …",,{},{},3.0,"https://scholar.google.com/scholar?cluster=1575052926017107484&hl=en&num=20&as_sdt=0,5&as_vis=1",1575052926017107484,PDF,ntu.ac.uk,http://irep.ntu.ac.uk/id/eprint/36269/1/13674_Bull.pdf
1,6,Pdf,The future impact of ICT on environmental sustainability Second Interim Report “Script”,https://p2infohouse.org/ref/37/36483.pdf,tcq8TJMzhb4J,"LE IZT, SB IZT - 2003 - p2infohouse.org","… interim report) the ICT-applications have been clustered into the following fields: virtual goods, virtual mobility, ebusiness, intelligent transport systems, energy demand, energy … of ICT-…",,{},{},3.0,"https://scholar.google.com/scholar?cluster=13728435746849475253&hl=en&num=20&as_sdt=0,5&as_vis=1",13728435746849475253,PDF,p2infohouse.org,https://p2infohouse.org/ref/37/36483.pdf
