page_number,position,result_type,title,link,result_id,publication_info_summary,snippet,cited_by_count,cited_by_link,cited_by_id,total_versions,all_versions_link,all_versions_id,file_format,file_title,file_link
1,1,Html,Trends in AI inference energy consumption: Beyond the performance-vs-parameter laws of deep learning,https://www.sciencedirect.com/science/article/pii/S2210537923000124,HFj_ajdZhvUJ,"R Desislavov, F Martínez-Plumed… - … Informatics and Systems, 2023 - Elsevier","… use AI (locally or remotely) the energy consumption can … debate about AI and energy consumption by analysing the … , this should encourage not only AI researchers but economists and …",1.0,"https://scholar.google.com/scholar?cites=17691926280724764700&as_sdt=2005&sciodt=0,5&hl=en&num=20",17691926280724764700,,{},{},HTML,sciencedirect.com,https://www.sciencedirect.com/science/article/pii/S2210537923000124
1,2,,Advanced AI-based techniques to predict daily energy consumption: A case study,https://www.sciencedirect.com/science/article/pii/S0957417421009180,DoRJjgo_idcJ,"A Baba - Expert Systems with Applications, 2021 - Elsevier",… the consumed power for the same regarded region between 2011 and 2015; 1825 days. The potential of AI-… to predict the consumed power by using probabilistic and AI-based methods. …,9.0,"https://scholar.google.com/scholar?cites=15531014104533271566&as_sdt=2005&sciodt=0,5&hl=en&num=20",15531014104533271566,2.0,"https://scholar.google.com/scholar?cluster=15531014104533271566&hl=en&num=20&as_sdt=0,5&as_vis=1",15531014104533271566,,,
1,3,,eXplainable AI (XAI)-Based Input Variable Selection Methodology for Forecasting Energy Consumption,https://www.mdpi.com/2079-9292/11/18/2947,lGO7CYqVat8J,"T Sim, S Choi, Y Kim, SH Youn, DJ Jang, S Lee… - Electronics, 2022 - mdpi.com","… AI (XAI) for energy consumption prediction. For this purpose, the energy consumption prediction model (R 2 = 0.871; MAE = 2.176; MSE = 9.870) was selected by collecting the energy …",2.0,"https://scholar.google.com/scholar?cites=16098844238090560404&as_sdt=2005&sciodt=0,5&hl=en&num=20",16098844238090560404,3.0,"https://scholar.google.com/scholar?cluster=16098844238090560404&hl=en&num=20&as_sdt=0,5&as_vis=1",16098844238090560404,PDF,mdpi.com,https://www.mdpi.com/2079-9292/11/18/2947/pdf
1,4,,Fully onboard ai-powered human-drone pose estimation on ultralow-power autonomous flying nano-uavs,https://ieeexplore.ieee.org/abstract/document/9462495/,wnO9rEHqDlAJ,"D Palossi, N Zimmerman, A Burrello… - IEEE Internet of …, 2021 - ieeexplore.ieee.org","… the constant power consumption for the Himax camera (ie, 4 mW) and the power required to … From this analysis, we see how the AI-deck power consumption is 1) always dominated by …",35.0,"https://scholar.google.com/scholar?cites=5768805740500054978&as_sdt=2005&sciodt=0,5&hl=en&num=20",5768805740500054978,6.0,"https://scholar.google.com/scholar?cluster=5768805740500054978&hl=en&num=20&as_sdt=0,5&as_vis=1",5768805740500054978,PDF,arxiv.org,https://arxiv.org/pdf/2103.10873
1,5,,Data analytics to increase efficiency of the AI based energy consumption predictor,https://ieeexplore.ieee.org/abstract/document/9212200/,de_DAwBSa0cJ,"S Das, TK Choudhury… - … and Sustainable Energy …, 2020 - ieeexplore.ieee.org",… handling of the real time energy consumption data set and to trace out the energy supply or … an energy consumption predictor to predict the monthly energy consumption per carpet area …,7.0,"https://scholar.google.com/scholar?cites=5146297159217573749&as_sdt=2005&sciodt=0,5&hl=en&num=20",5146297159217573749,,{},{},,,
1,6,Pdf,Utilization of ICT and AI techniques in harnessing residential energy consumption for an energy-aware smart city: A review,https://www.researchgate.net/profile/Aamir-Anwar-2/publication/350850776_Utilization_of_ICT_and_AI_techniques_in_harnessing_residential_energy_consumption_for_an_energy-aware_smart_city_A_review/links/60762b3a299bf1f56d5608bc/Utilization-of-ICT-and-AI-techniques-in-harnessing-residential-energy-consumption-for-an-energy-aware-smart-city-A-review.pdf,gqmApaWO3E8J,"D Mahmood, S Latif, A Anwar, SJ Hussain… - … Journal of Advanced …, 2021 - researchgate.net","… high impact on global energy consumption. Curtailing and … power consumption patterns. Using Demand Side Management (DSM), end users can manipulate their power consumption …",5.0,"https://scholar.google.com/scholar?cites=5754631265970071938&as_sdt=2005&sciodt=0,5&hl=en&num=20",5754631265970071938,2.0,"https://scholar.google.com/scholar?cluster=5754631265970071938&hl=en&num=20&as_sdt=0,5&as_vis=1",5754631265970071938,PDF,researchgate.net,https://www.researchgate.net/profile/Aamir-Anwar-2/publication/350850776_Utilization_of_ICT_and_AI_techniques_in_harnessing_residential_energy_consumption_for_an_energy-aware_smart_city_A_review/links/60762b3a299bf1f56d5608bc/Utilization-of-ICT-and-AI-techniques-in-harnessing-residential-energy-consumption-for-an-energy-aware-smart-city-A-review.pdf
1,7,,Ai waste prevention: Time and power estimation for edge tensor processing units: Poster,https://dl.acm.org/doi/abs/10.1145/3447555.3466579,hu2pHR6vy7AJ,"S Reif, B Herzog, J Hemp… - … on Future Energy …, 2021 - dl.acm.org","… and power demand. In order to prevent such AI Waste, this paper presents Precious, an approach, as well as practical implementation, that estimates execution time and power draw of …",4.0,"https://scholar.google.com/scholar?cites=12739468514829135238&as_sdt=2005&sciodt=0,5&hl=en&num=20",12739468514829135238,2.0,"https://scholar.google.com/scholar?cluster=12739468514829135238&hl=en&num=20&as_sdt=0,5&as_vis=1",12739468514829135238,PDF,fau.de,https://www4.cs.fau.de/Publications/2021/reif_2021_eenergy.pdf
1,8,,Towards Energy Consumption and Carbon Footprint Testing for AI-driven IoT Services,https://ieeexplore.ieee.org/abstract/document/9946240/,0jj4mwMvPgwJ,"D Trihinas, L Thamsen, J Beilharz… - … Conference on Cloud …, 2022 - ieeexplore.ieee.org","… users are faced with when assessing the energy consumption and carbon emissions of AI-driven IoT services during application testing, after introducing an edge-AI reference scenario. …",,{},{},4.0,"https://scholar.google.com/scholar?cluster=882194269559339218&hl=en&num=20&as_sdt=0,5&as_vis=1",882194269559339218,PDF,gla.ac.uk,https://eprints.gla.ac.uk/276781/2/276781.pdf
1,9,,An empirical study on the Performance and Energy Consumption of AI Containerization Strategies for Computer-Vision Tasks on the Edge,https://dl.acm.org/doi/abs/10.1145/3530019.3530025,hHYe6PaT6AMJ,"RM Hampau, M Kaptein, R Van Emden, T Rost… - Proceedings of the …, 2022 - dl.acm.org","… power and storage capabilities, motivates the need for better understating of how AI performs and consumes energy. … different AI containerization strategies on the energy consumption, …",4.0,"https://scholar.google.com/scholar?cites=281637665376204420&as_sdt=2005&sciodt=0,5&hl=en&num=20",281637665376204420,3.0,"https://scholar.google.com/scholar?cluster=281637665376204420&hl=en&num=20&as_sdt=0,5&as_vis=1",281637665376204420,HTML,acm.org,https://dl.acm.org/doi/fullHtml/10.1145/3530019.3530025
1,10,,crystalline oxide semiconductor applicable to low-power consumption edge AI,https://iopscience.iop.org/article/10.1149/10202.0003ecst/meta,Bva6x2ni1AMJ,"H Kunitake, H Baba, N Okuno, Y Ito… - ECS …, 2021 - iopscience.iop.org",… leads to reductions in power consumption and operation standby … using CAAAC-IGZO FETs in AI accelerator will reduce access to … to solve an issue of power consumption in an AI era. …,3.0,"https://scholar.google.com/scholar?cites=276094421126804998&as_sdt=2005&sciodt=0,5&hl=en&num=20",276094421126804998,4.0,"https://scholar.google.com/scholar?cluster=276094421126804998&hl=en&num=20&as_sdt=0,5&as_vis=1",276094421126804998,,,
1,11,,Module Against Power Consumption Attacks for Trustworthiness of Vehicular AI Chips in Wide Temperature Range,https://www.worldscientific.com/doi/abs/10.1142/S0218001422500124,ZFt-FTgwzfYJ,"Z Zhu, J Geng, M Zhou, B Fang - International Journal of Pattern …, 2022 - World Scientific","… consumption attacks is proposed in this paper. First, considering the … of power, we propose a raw data correction approach for power monitoring to monitor abnormal power consumption…",1.0,"https://scholar.google.com/scholar?cites=17783923520992861028&as_sdt=2005&sciodt=0,5&hl=en&num=20",17783923520992861028,,{},{},,,
1,12,,Performance measurement of various AI techniques for energy estimation and its optimisation using sensitivity analysis,https://www.inderscienceonline.com/doi/abs/10.1504/IJIE.2022.121746,NsBzJLsOY6wJ,"Y Swami, N Singh, U Soni - International Journal of …, 2022 - inderscienceonline.com","… energy performance of a building (EPB) in terms of heating and cooling load by using various artificial intelligence (AI) techniques then measuring the … In the end, performance of the AI …",1.0,"https://scholar.google.com/scholar?cites=12421788394151198774&as_sdt=2005&sciodt=0,5&hl=en&num=20",12421788394151198774,4.0,"https://scholar.google.com/scholar?cluster=12421788394151198774&hl=en&num=20&as_sdt=0,5&as_vis=1",12421788394151198774,,,
