page_number,position,result_type,title,link,result_id,publication_info_summary,snippet,cited_by_count,cited_by_link,cited_by_id,total_versions,all_versions_link,all_versions_id,file_format,file_title,file_link
1,1,,Ai for science: Report on the department of energy (doe) town halls on artificial intelligence (ai) for science,https://www.osti.gov/biblio/1604756,Gzj04_zI65wJ,"R Stevens, V Taylor, J Nichols, AB Maccabe, K Yelick… - 2020 - osti.gov","… to examine scientific opportunities in the areas of artificial intelligence (AI), Big Data, and … In this report and in the Department of Energy (DOE) laboratory community, we use the term …",79.0,"https://scholar.google.com/scholar?cites=11307352277925509147&as_sdt=2005&sciodt=0,5&hl=en&num=20",11307352277925509147,4.0,"https://scholar.google.com/scholar?cluster=11307352277925509147&hl=en&num=20&as_sdt=0,5&as_vis=1",11307352277925509147,PDF,osti.gov,https://www.osti.gov/servlets/purl/1604756
1,2,,Forming of the regional core transport network taking into account the allocation of alternative energy sources based on artificial intelligence methods,https://yadda.icm.edu.pl/baztech/element/bwmeta1.element.baztech-1c5c5eb2-347d-4060-b4a8-ff628f02c130,-kBmD_bsbpgJ,"M Zhuravskaya, V Tarasyan - Transport problems, 2014 - yadda.icm.edu.pl","… On the basis of artificial intelligence methods for forest … able to provide different possibilities of power-supply, flexible enough … of tasks by applying artificial intelligence methods, such as …",30.0,"https://scholar.google.com/scholar?cites=10983977082767687930&as_sdt=2005&sciodt=0,5&hl=en&num=20",10983977082767687930,11.0,"https://scholar.google.com/scholar?cluster=10983977082767687930&hl=en&num=20&as_sdt=0,5&as_vis=1",10983977082767687930,PDF,icm.edu.pl,https://yadda.icm.edu.pl/baztech/element/bwmeta1.element.baztech-1c5c5eb2-347d-4060-b4a8-ff628f02c130/c/Zhuravskaya.pdf
1,3,Book,Innovations and artificial intelligence along the energy industry value chain taking into account data security and data protection,https://books.google.com/books?hl=en&lr=&id=UHN6EAAAQBAJ&oi=fnd&pg=PA2&dq=(%22artificial+intelligence%22)+%2B+(report%7Creports%7Creporting%7Caccount)+%2B+(energy%7Cpower%7C%22environmental+impact%22%7C%22carbon+footprint%22%7C%22carbon+emissions%22%7C%22carbon+impact%22)+-wind+-building+-buildings+-vehicles+-homes+-ships+-solar+-photovoltaic+-vehicle&ots=8TNcJkyCy7&sig=Zf_XcLNBBOf7MSBcRYxctied-jA,m46DfyqHZ6oJ,"HA Krebs, P Hagenweiler - 2022 - books.google.com","… in the energy industry and aims to highlight the upcoming change in the energy industry value chain, which will be characterized by disruptive innovations and artificial intelligence (AI) …",,{},{},,{},{},,,
1,4,,"Achieving robust, science-based measurement, reporting and certification of carbon emissions through artificial intelligence and machine learning",https://apo.org.au/sites/default/files/resource-files/2020-05/apo-nid305909.pdf#page=56,dsA6-wLtHvUJ,"M Smith - Aarti Krishnan and Simon Maxwell are alone …, 2020 - apo.org.au","The next 10 years will determine whether or not we, as global citizens, make a successful transition to sustainable growth and avoid the worst effects of climate change. However, …",1.0,"https://scholar.google.com/scholar?cites=17662815385654313078&as_sdt=2005&sciodt=0,5&hl=en&num=20",17662815385654313078,5.0,"https://scholar.google.com/scholar?cluster=17662815385654313078&hl=en&num=20&as_sdt=0,5&as_vis=1",17662815385654313078,PDF,indiaenvironmentportal.org.in,http://www.indiaenvironmentportal.org.in/files/file/counting_carbon_in-global-trade.pdf#page=56
1,5,,"Implementation Artificial Intelligence System Using Automated Object Detection (Identification, Monitoring, and Live Reporting) for Sustainability Asset Management …",https://ieeexplore.ieee.org/abstract/document/9930062/,6aP32d7tvyMJ,"B Hidayat, M jati Nugroho, E Bahartyan… - … Conference on Power …, 2022 - ieeexplore.ieee.org",… the best visual detection media owned by the power plant unit where we built this system for … the final results as a report. We use several Artificial Intelligence algorithms and library …,,{},{},,{},{},,,
1,6,,"Space Computation Sciences Leveraging Cloud Computing, Artificial Intelligence, and Advanced Analytics to Power Innovation: A Review Report",https://i-proclaim.my/journals/index.php/apjee/article/view/519,emqBSX1YBIUJ,"T Fadziso - Asia Pacific Journal of Energy and Environment, 2018 - i-proclaim.my","… then combined with modern technologies such Artificial Intelligence, Data Analytics and Cloud … leverage Artificial Intelligence, Cloud technologies, and Advanced Data Analysis to power …",1.0,"https://scholar.google.com/scholar?cites=9584883202078632570&as_sdt=2005&sciodt=0,5&hl=en&num=20",9584883202078632570,3.0,"https://scholar.google.com/scholar?cluster=9584883202078632570&hl=en&num=20&as_sdt=0,5&as_vis=1",9584883202078632570,PDF,i-proclaim.my,https://i-proclaim.my/journals/index.php/apjee/article/download/519/476
1,7,,Artificial intelligence technologies for power system operations. Final report,https://www.osti.gov/biblio/6354414,j8QHwEMzmKgJ,"SN Talukdar, E Cardozo - 1986 - osti.gov",… Researchers in this study examined the potential of artificial intelligence (AI) technologies for improving problem-solving strategies in 16 power system operations. To demonstrate the …,,{},{},,{},{},,,
1,8,,"Application of artificial intelligence to the operation of nuclear power plants: Progress report, September 15, 1986-June 4, 1987",https://www.osti.gov/biblio/6299042,xQcLRxTyzGAJ,"BK Hazek, DW Miller - 1987 - osti.gov","… This report summarizes progress to date on Department of Energy grant No. AC02-… on Expert Systems Applications in Power Plants in May 1987, form a part of this report. In addition, …",,{},{},2.0,"https://scholar.google.com/scholar?cluster=6975216091795228613&hl=en&num=20&as_sdt=0,5&as_vis=1",6975216091795228613,,,
1,9,,"Application of artificial intelligence to the operation of nuclear power plants: Final report for the period September 22, 1986--May 31, 1988",https://www.osti.gov/biblio/6660966,mCazj18lIO4J,BK Hajek - 1988 - osti.gov,"Using the Generic Task approach, an Operator Advisor for use in nuclear power plant control rooms has been developed in prototype form. This research expanded upon earlier …",,{},{},2.0,"https://scholar.google.com/scholar?cluster=17158755672644593304&hl=en&num=20&as_sdt=0,5&as_vis=1",17158755672644593304,,,
1,10,,"Enhancing nuclear power plant performance through the use of artificial intelligence. Final (third annual) report, June 1, 1990--March 31, 1992: Part 1, Overview and …",https://www.osti.gov/biblio/10182907,WtbfEfEsKwkJ,"AJ Maren, LF Miller, LH Tsoukalas, RE Uhrig… - 1992 - osti.gov","… of applying artificial intelligence technology (… power plants. A second, but equally important objective, was to build a broadly based critical mass of expertise in the artificial intelligence …",,{},{},4.0,"https://scholar.google.com/scholar?cluster=660671184238532186&hl=en&num=20&as_sdt=0,5&as_vis=1",660671184238532186,,,
1,11,Html,… toward point-of-care ultrasound49. Psychological impact of COVID-19 on Canadian surgical residents50. Validation of an artificial intelligence platform for the …,https://www.canjsurg.ca/content/65/6_Suppl_2/S33.abstract,WVG4-I-_zbkJ,"Y Selim, É Di Lena, N Abu-Omar, Z Baig, K Verhoeff… - 2022 - canjsurg.ca","Background: Ventral hernias of the abdomen are defined as a noninguinal, nonhiatal defect in the fascia of the abdominal wall. Unfortunately, there is not currently a universal …",,{},{},,{},{},HTML,canjsurg.ca,https://www.canjsurg.ca/content/65/6_Suppl_2/S33.abstract
