page_number,position,result_type,title,link,result_id,publication_info_summary,snippet,cited_by_count,cited_by_link,cited_by_id,total_versions,all_versions_link,all_versions_id,file_format,file_title,file_link
1,1,,"The effect of renewable energy sources on carbon dioxide emissions: Evaluating the role of governance, and ICT in Morocco",https://www.sciencedirect.com/science/article/pii/S0960148122004244,NHsrZjrjDqEJ,"Y Khan, H Oubaih, FZ Elgourrami - Renewable Energy, 2022 - Elsevier","… effect of carbon emissions, renewable energy sources, ICT, … among carbon emissions, renewable energy sources, ICT, … renewable energy sources (ie solar, wind, hydroelectric), ICT…",30.0,"https://scholar.google.com/scholar?cites=11605463129742080820&as_sdt=2005&sciodt=0,5&hl=en&num=20",11605463129742080820,4.0,"https://scholar.google.com/scholar?cluster=11605463129742080820&hl=en&num=20&as_sdt=0,5&as_vis=1",11605463129742080820,,,
1,2,,Evaluating network-based DoS attacks under the energy consumption perspective: new security issues in the coming green ICT area,https://ieeexplore.ieee.org/abstract/document/6103061/,mV1GE1rxcwwJ,"F Palmieri, S Ricciardi, U Fiore - 2011 international conference …, 2011 - ieeexplore.ieee.org",… By observing the electrical power demands of the largest networked … that ICT worldwide energy consumption amounts to more than 8% of the global electricity production and the energy …,37.0,"https://scholar.google.com/scholar?cites=897326119949589913&as_sdt=2005&sciodt=0,5&hl=en&num=20",897326119949589913,10.0,"https://scholar.google.com/scholar?cluster=897326119949589913&hl=en&num=20&as_sdt=0,5&as_vis=1",897326119949589913,PDF,academia.edu,https://www.academia.edu/download/43438667/Evaluating_Network-Based_DoS_Attacks_und20160306-26933-1u0ofab.pdf
1,3,Pdf,A strategic model for evaluating energy efficient ICT infrastructures for sustainable environment,https://www.academia.edu/download/30455928/A_Strategic_Model_for_Evaluating_Energy_Efficient_ict_Infrastructures_for_Sustainable.pdf,kgg2y__RAYEJ,"M Masud, N Malik - J. Appl. Sci. Res, 2012 - academia.edu","… In this regards, this paper evaluates the ICT infrastructures and its environmental impacts with carbon footprint. Energy consumption scenario is drawn for different ICT sectors that need …",10.0,"https://scholar.google.com/scholar?cites=9295942002425596050&as_sdt=2005&sciodt=0,5&hl=en&num=20",9295942002425596050,,{},{},PDF,academia.edu,https://www.academia.edu/download/30455928/A_Strategic_Model_for_Evaluating_Energy_Efficient_ict_Infrastructures_for_Sustainable.pdf
1,4,Pdf,Evaluating the effectiveness of energy efficient and ecoleveling ICT infrastructures for environmental sustainability,https://www.academia.edu/download/30455936/ICEI2012__GT201.pdf,5KMb1lyUxA0J,"MH Masud, NBA Malik2a, MK Shukran2b - Energy, 2012 - academia.edu",… ICT infrastructures produce numerous environmental pollutions … the energy consumption scenario in the field of ICT and its effect … energy efficient computing system and ecoleveling ICT …,5.0,"https://scholar.google.com/scholar?cites=992080944378389476&as_sdt=2005&sciodt=0,5&hl=en&num=20",992080944378389476,,{},{},PDF,academia.edu,https://www.academia.edu/download/30455936/ICEI2012__GT201.pdf
1,5,Pdf,Evaluating the energy consumption and the energy savings potential in ICT backbone networks,https://biblio.ugent.be/publication/5730863/file/5730864,5XiKV24QffgJ,W Van Heddeghem - 2014 - biblio.ugent.be,… In the first part of this work we estimate the worldwide electricity consumption of ICT equipment. Subsequently we focus on reducing the electricity consumption in ICT backbone …,,{},{},5.0,"https://scholar.google.com/scholar?cluster=17905485759596099813&hl=en&num=20&as_sdt=0,5&as_vis=1",17905485759596099813,PDF,ugent.be,https://biblio.ugent.be/publication/5730863/file/5730864
