page_number,position,result_type,title,link,result_id,publication_info_summary,snippet,cited_by_count,cited_by_link,cited_by_id,total_versions,all_versions_link,all_versions_id,file_format,file_title,file_link
1,1,,Fault Prediction of Power communication Networks by Federated Learning of Distributed Data,https://ieeexplore.ieee.org/abstract/document/9449196/,R8iZYegfQX8J,"H Wu, P Chen, W Li, C Jiang, J Li… - 2021 IEEE 6th …, 2021 - ieeexplore.ieee.org","… The methods are centralized learning (Cent), distributed learning (Dist), federated learning (… Here we directly use distributed data over all nodes to implement the distributed learning as …",,{},{},,{},{},,,
1,2,,A fair and efficient hybrid federated learning framework based on xgboost for distributed power prediction,https://arxiv.org/abs/2201.02783,x5zvlOp6syIJ,"H Liu, X Zhang, X Shen, H Sun - arXiv preprint arXiv:2201.02783, 2022 - arxiv.org","… The natural advantage of parallel processing in distributed learning is therefore left aside, leading to computational inefficiency. The problems of fairness and efficiency could have been …",3.0,"https://scholar.google.com/scholar?cites=2500477366060424391&as_sdt=8005&sciodt=0,7&hl=en&num=20",2500477366060424391,2.0,"https://scholar.google.com/scholar?cluster=2500477366060424391&hl=en&num=20&as_sdt=0,7&as_vis=1",2500477366060424391,PDF,arxiv.org,https://arxiv.org/pdf/2201.02783
1,3,,Distributed heteromodal split learning for vision aided mmWave received power prediction,https://arxiv.org/abs/2007.08208,QG-6nfvYCCwJ,"Y Koda, J Park, M Bennis, K Yamamoto… - arXiv preprint arXiv …, 2020 - arxiv.org","… is the accurate prediction of millimeter-wave received power … cameras, in a communication and energy-efficient manner while … energy costs. To overcome additional communication and …",7.0,"https://scholar.google.com/scholar?cites=3173024512677146432&as_sdt=8005&sciodt=0,7&hl=en&num=20",3173024512677146432,3.0,"https://scholar.google.com/scholar?cluster=3173024512677146432&hl=en&num=20&as_sdt=0,7&as_vis=1",3173024512677146432,PDF,arxiv.org,https://arxiv.org/pdf/2007.08208
