;title;link;authors;date;pub_info;result_id;keep_dupl
1714;Comparing Long Short-Term Memory (LSTM) and Bidirectional LSTM Deep Neural Networks for power consumption prediction;https://arxiv.org/abs/2305.16546;da Silva, Davi Guimarães, and Anderson Alvarenga de Moura Meneses.;2023;DG da Silva, AAM Meneses - arXiv preprint arXiv:2305.16546, 2023 - arxiv.org;JKzU5KNOsz0J;0
1766;Comparing Long Short-Term Memory (LSTM) and Bidirectional LSTM Deep Neural Networks for power consumption prediction;https://ui.adsabs.harvard.edu/abs/2023arXiv230516546G/abstract;Guimarães da Silva, Davi, and Anderson Alvarenga de Moura Meneses.;2023;D Guimarães da Silva… - arXiv e …, 2023 - ui.adsabs.harvard.edu;fg47M6cHqF0J;1
1752;Forecasting energy consumption: Fundamental modeling using classical statistics and neural networks;https://link.springer.com/chapter/10.1007/978-3-642-80117-4_49;Klaus, Matthias, Heinz Rehkugler, and Claus Hüsselmann.;1996;M Klaus, H Rehkugler, C Hüsselmann - Operations Research Proceedings …, 1996 - Springer;SXqTKI-A_0EJ;1
1773;Forecasting energy consumption: Fundamental modeling using classical statistics and neural networks;https://books.google.com/books?hl=en&lr=&id=EL3TBgAAQBAJ&oi=fnd&pg=PA282&dq=(%22neural+networks%22)+%2B+(consumption%7Cpredict%7Cprediction%7Cpredicting)+%2B+(energy%7Cpower%7C%22environmental+impact%22%7C%22carbon+footprint%22%7C%22carbon+emissions%22%7C%22carbon+impact%22)+-wind+-building+-buildings+-vehicles+-homes+-ships+-solar+-photovoltaic+-vehicle&ots=xxPX_7--bO&sig=5-6vMkhnf0ywSgWbsKEOT3-nfZs;Hüsselmann, Claus.;2013;C Hüsselmann - … Research Proceedings 1995: Selected Papers of …, 2013 - books.google.com;9OGs1Tqe_KoJ;0
1774;Prediction of power peak factor using artificial neural networks;https://www.osti.gov/etdeweb/biblio/21071460;Souza, Rose Mary Gomes do Prado, and Joao Manoel Losada Moreira.;2007;RMGP Souza, JML Moreira - 2007 - osti.gov;-dsnU1EIHm0J;1
1775;PREDICTION OF POWER PEAK FACTOR USING ARTIFICIAL NEURAL NETWORKS;https://www.ipen.br/biblioteca/cd/inac/2007/pdf_dvd/R01_1656.pdf;do Prado Souza, Rose Mary Gomes, and João Manoel Losada Moreira.;;RMG do Prado Souza, JML Moreira - ipen.br;hPhY67gUBEMJ;0
1883;Computation and power reduction techniques for H. 264 intra prediction;https://www.sciencedirect.com/science/article/pii/S0141933111001256;Adibelli, Yusuf, Mustafa Parlak, and Ilker Hamzaoglu.;2012;Y Adibelli, M Parlak, I Hamzaoglu - Microprocessors and Microsystems, 2012 - Elsevier;cN5bImx1FmwJ;1
1919;Computation and power reduction techniques for H. 264 intra prediction;https://research.sabanciuniv.edu/19051/;Adıbelli, Yusuf, Mustafa Parlak, and İlker Hamzaoğlu.;2012;Y Adıbelli, M Parlak… - Microprocessors and …, 2012 - research.sabanciuniv.edu;VyrLTA73jWkJ;0
1889;A Comparative Analysis of the Computation Cost and Energy Consumption of Relevant Curves of ECC Presented in Literature;https://www.ijecer.org/ijecer/article/view/318;;;M Elhajj, P Mulder - International Journal of Electrical and Computer …, 2023 - ijecer.org;s22Xn1oXExcJ;0
1898;A comparative analysis of the computation cost and energy consumption of relevant curves of ECC presented in literature;http://essay.utwente.nl/91874/;Mulder, P. W.;;PW Mulder - 2022 - essay.utwente.nl;Aelp5OF7UcAJ;1
1941;Evaluating the NVIDIA tegra processor as a low-power alternative for sparse GPU computations;https://link.springer.com/chapter/10.1007/978-3-319-73353-1_8;Aliaga, José I., Ernesto Dufrechou, Pablo Ezzatti, and Enrique S. Quintana-Ortí.;2018;JI Aliaga, E Dufrechou, P Ezzatti… - … Computing: 4th Latin …, 2018 - Springer;_9PI6cmqcqoJ;1
1942;Evaluating the NVIDIA Tegra Processor as a Low-Power Alternative for Sparse GPU Computations;https://books.google.com/books?hl=en&lr=&id=Lr1EDwAAQBAJ&oi=fnd&pg=PA111&dq=(computations)+%2B+(quantifying%7Cmonitor%7Cmonitoring%7Cevaluate%7Cevaluating)+%2B+(energy%7Cpower%7C%22environmental+impact%22%7C%22carbon+footprint%22%7C%22carbon+emissions%22%7C%22carbon+impact%22)+-wind+-building+-buildings+-vehicles+-homes+-ships+-solar+-photovoltaic+-vehicle&ots=o50XRuoSo8&sig=3gK5fPosnTNFMahXdzZp0PJ33mo;Ezzatti, Pablo, and Enrique S. Quintana-Ortı.;2017;P Ezzatti, ES Quintana-Ortı - High Performance Computing: 4th …, 2017 - books.google.com;GxWvUlRQgJIJ;0
1981;Estimation of power consumption of each application considering software dependency in Android;https://www.jstage.jst.go.jp/article/ipsjjip/27/0/27_221/_article/-char/ja/;Kurihara, Shun, Shoki Fukuda, Takeshi Kamiyama, Akira Fukuda, Masato Oguchi, and Saneyasu Yamaguchi.;2019;S Kurihara, S Fukuda, T Kamiyama… - Journal of Information …, 2019 - jstage.jst.go.jp;bFnHYHwlAfsJ;1
2047;Estimation of Power Consumption of Each Application Considering Software Dependency in Android;https://cir.nii.ac.jp/crid/1050564287863194368;;;K Shun, F Shoki, K Takeshi, F Akira, O Masato… - 情報処理学会論文誌 …, 2019 - cir.nii.ac.jp;92GJEZH-0ccJ;0
2003;High level power estimation based on a functional analysis for embedded DSP software;https://hal.science/hal-00077564/;Laurent, Johann, Nathalie Julien, Eric Senn, and Eric Martin.;2001;J Laurent, N Julien, E Senn, E Martin - IWLS, 2001 - hal.science;ftrcdWYSDcoJ;1
2038;High Level Power Estimation based on a functional analysis for Embedded DSP Software;https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=c98b8941e5b1dc2e96fefc3614e6e03b41027e55;JULIEN, Johann LAURENT Nathalie, Eric SENN, and Eric MARTIN.;;JLN JULIEN, E SENN, E MARTIN - Citeseer;XEFGX_hXiDEJ;0
2066;Power consumption of GPUs from a software perspective;https://link.springer.com/chapter/10.1007/978-3-642-01970-8_92;Collange, Sylvain, David Defour, and Arnaud Tisserand.;2009;S Collange, D Defour, A Tisserand - … Baton Rouge, LA, USA, May 25-27 …, 2009 - Springer;5fBaFlqLRUEJ;1
2277;Power Consumption of GPUs from a Software Perspective;https://www.academia.edu/download/50817459/Power_Consumption_of_GPUs_from_a_Softwar20161210-25400-nruc5i.pdf;Defour, David.;;D Defour - academia.edu;IptZjTmjH0AJ;0
2076;Estimating the worst-case energy consumption of embedded software;https://ieeexplore.ieee.org/abstract/document/1613325/;Jayaseelan, Ramkumar, Tulika Mitra, and Xianfeng Li.;2006;R Jayaseelan, T Mitra, X Li - 12th IEEE Real-Time and …, 2006 - ieeexplore.ieee.org;RyRHwBpbYZsJ;1
2298;Estimating the Worst-Case Energy Consumption of Embedded Software;https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=6e8908c9846e8186f8099e366a68ab73a7821b38;XianfengLi, RamkumarJayaseelan TulikaMitra.;;RJTM XianfengLi - Energy (nano Joules) - Citeseer;s22qCbSeiBwJ;0
