page_number,position,result_type,title,link,result_id,publication_info_summary,snippet,cited_by_count,cited_by_link,cited_by_id,total_versions,all_versions_link,all_versions_id,file_format,file_title,file_link
1,1,,CUMULATOR—a tool to quantify and report the carbon footprint of machine learning computations and communication in academia and healthcare,https://infoscience.epfl.ch/record/278189,wijB9pN70-QJ,T Trébaol - 2020 - infoscience.epfl.ch,"… As a proof of concept, we will report the carbon footprint of this project and … to report for this energy to carbon footprint conversion is the geographic location at which the computations …",2.0,"https://scholar.google.com/scholar?cites=16488658536163780802&as_sdt=5,39&sciodt=0,39&hl=en&num=20",16488658536163780802,,{},{},PDF,epfl.ch,https://infoscience.epfl.ch/record/278189/files/Msc_semester_project_report_TTre%CC%81baol_cumulator.pdf
1,2,,Block diagonal decompositions for parallel computations of large power systems. Final report,https://www.osti.gov/biblio/88612,yCYPI8bZVpsJ,DD Silijak - 1995 - osti.gov,"… In this report we present the algorithm and C code for … including models of the West Coast power network (1,993 x 1,993 … In applications to power systems the execution time for the BBD …",,{},{},,{},{},,,
1,3,Pdf,International Journal of Intellectual Advancements and Research in Engineering Computations Maximum power point tracking for PV array based on ant colony …,https://www.researchgate.net/profile/Madhumitha-Rajasekaran/publication/319623830_Maximum_power_point_tracking_for_PV_array_based_on_ant_colony_optimization_under_uniform_and_non-uniform_irradiance/links/59b64daaaca2728472dc1e16/Maximum-power-point-tracking-for-PV-array-based-on-ant-colony-optimization-under-uniform-and-non-uniform-irradiance.pdf,6gUUYV8wmT0J,"SG Brindha, R Madhumitha, C Aravind - researchgate.net",… power from local peak. So there will be a need of maximum power point tracker to track maximum power. This … in MATLAB/SIMULINK for tracking maximum power from solar panel under …,,{},{},,{},{},PDF,researchgate.net,https://www.researchgate.net/profile/Madhumitha-Rajasekaran/publication/319623830_Maximum_power_point_tracking_for_PV_array_based_on_ant_colony_optimization_under_uniform_and_non-uniform_irradiance/links/59b64daaaca2728472dc1e16/Maximum-power-point-tracking-for-PV-array-based-on-ant-colony-optimization-under-uniform-and-non-uniform-irradiance.pdf
