page_number,position,result_type,title,link,result_id,publication_info_summary,snippet,cited_by_count,cited_by_link,cited_by_id,total_versions,all_versions_link,all_versions_id,file_format,file_title,file_link
1,1,,Condition monitoring of machines using fused features from EMD-based local energy with DNN,https://ieeexplore.ieee.org/abstract/document/8758425/,WMkty5DkCugJ,"S Maurya, V Singh, NK Verma - IEEE Sensors Journal, 2019 - ieeexplore.ieee.org","… the DNN: (1) pre-training of DNN layer-by-layer using unsupervised learning techniques and (2) fine-tuning of DNN … In this paper, a sparse autoencoder based DNN is used. Sparse …",40,"https://scholar.google.com/scholar?cites=16720427877101586776&as_sdt=2005&sciodt=0,5&hl=en&num=20",16720427877101586776,2.0,"https://scholar.google.com/scholar?cluster=16720427877101586776&hl=en&num=20&as_sdt=0,5&as_vis=1",16720427877101586776,,,
1,2,Html,DNN-based distributed voltage stability online monitoring method for large-scale power grids,https://www.frontiersin.org/articles/10.3389/fenrg.2021.625914/full,CrKhM_S5SCcJ,"S Li, J Hou, A Yang, J Li - Frontiers in Energy Research, 2021 - frontiersin.org","… In order to make LIMM more suitable for on-line voltage stability monitoring, this paper applied DNN to predict LIMM. This method can not only find the optimal installation location of …",10,"https://scholar.google.com/scholar?cites=2830716824291750410&as_sdt=2005&sciodt=0,5&hl=en&num=20",2830716824291750410,,{},{},HTML,frontiersin.org,https://www.frontiersin.org/articles/10.3389/fenrg.2021.625914/full
1,3,,DNN-Assisted Sensor for Energy-Efficient ECG Monitoring,https://ieeexplore.ieee.org/abstract/document/9014002/,YgEn1-our_wJ,"TY Lee, M Levorato, N Dutt - 2019 IEEE Global …, 2019 - ieeexplore.ieee.org","… range of DNN parameters to explore the tradeoff between complexity/energy consumption, … performs in terms of mistransmission rate and normalized energy cost. In Section III, we …",3,"https://scholar.google.com/scholar?cites=18207823404649087330&as_sdt=2005&sciodt=0,5&hl=en&num=20",18207823404649087330,4.0,"https://scholar.google.com/scholar?cluster=18207823404649087330&hl=en&num=20&as_sdt=0,5&as_vis=1",18207823404649087330,PDF,nsf.gov,https://par.nsf.gov/servlets/purl/10165242
