page_number,position,result_type,title,link,result_id,publication_info_summary,snippet,cited_by_count,cited_by_link,cited_by_id,total_versions,all_versions_link,all_versions_id,file_format,file_title,file_link
1,1,,Decentralized federated learning for nonintrusive load monitoring in smart energy communities,https://ieeexplore.ieee.org/abstract/document/9837291/,3KYIL4W3LcYJ,"A Giuseppi, S Manfredi, D Menegatti… - … on Control and …, 2022 - ieeexplore.ieee.org","… In this work, we introduce the Decentralized Federated Learning (DECFEDAVG) … federated learning algorithm Federated Averaging (FEDAVG) over the Nonintrusive Load Monitoring …",3.0,"https://scholar.google.com/scholar?cites=14280271776109340380&as_sdt=2005&sciodt=0,5&hl=en&num=20",14280271776109340380,,{},{},,,
1,2,Pdf,Federated-Transfer Learning for Scalable Condition-based Monitoring of Nuclear Power Plant Components,https://www.iapsam.org/PSAM16/papers/KO218-PSAM16.pdf,mz3zah_FqQgJ,"KA Manjunathaa, V Agarwala, H Palasb - Idaho National Laboratory …, 2022 - iapsam.org",… monitoring (CBM) techniques are widely being used for maintenance activities in nuclear power … a component or plant system by combining federated learning (FL) and transfer learning …,1.0,"https://scholar.google.com/scholar?cites=624246762096508315&as_sdt=2005&sciodt=0,5&hl=en&num=20",624246762096508315,2.0,"https://scholar.google.com/scholar?cluster=624246762096508315&hl=en&num=20&as_sdt=0,5&as_vis=1",624246762096508315,PDF,iapsam.org,https://www.iapsam.org/PSAM16/papers/KO218-PSAM16.pdf
1,3,,A High-Frequency Monitoring Method for Urban Carbon Emissions Based on Vertical Federated Deep Learning and Multi-Source Heterogeneous Data Fusion …,https://dl.acm.org/doi/abs/10.1145/3582935.3582972,Hbb6PXp9PLkJ,"Y Gao, D Yan, N Liu, S Luo, Z Zhou, Y Wang… - Proceedings of the 5th …, 2022 - dl.acm.org",… One of the ways to reasonably and effectively control carbon emissions from key industries … the national carbon emissions trading market and to monitor their carbon emissions effectively…,,{},{},,{},{},,,
